date,strategy_id,market,category,sector_or_index,contribution,cumulative_contribution,portfolio_value_local,portfolio_value_usd_if_applicable,drawdown
2021-01-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,70000.0,113134.05013166244,,-0.07180431177596296
2021-02-28,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,71000.0,107432.38170077505,,-0.11858301409479441
2021-03-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,72000.0,115782.0816430393,,-0.05007883276870606
2021-04-30,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,73000.0,119803.70173814759,,-0.017083899522610305
2021-05-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,74000.0,122538.18570062239,,0.0
2021-06-30,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,75000.0,125473.20859123924,,0.0
2021-07-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,76000.0,133181.7239126936,,0.0
2021-08-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,77000.0,139096.46271553016,,0.0
2021-09-30,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,78000.0,136083.12974914495,,-0.021663620393768405
2021-10-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,79000.0,146347.33987331536,,0.0
2021-11-30,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,80000.0,151404.95311341473,,0.0
2021-12-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,81000.0,162611.66618589283,,0.0
2022-01-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,82000.0,153086.00292431092,,-0.05857921196559449
2022-02-28,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,83000.0,153245.35124232038,,-0.05759928031771813
2022-03-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,84000.0,165021.4857288152,,0.0
2022-04-30,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,85000.0,163629.18199488526,,-0.008437105797350221
2022-05-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,86000.0,144727.42345978593,,-0.12297830297309958
2022-06-30,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,87000.0,144093.7392181353,,-0.12681831349568073
2022-07-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,88000.0,155276.48275313564,,-0.059052934426331694
2022-08-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,89000.0,153535.9445486903,,-0.06960027737842224
2022-09-30,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,90000.0,143349.11906564716,,-0.1313305753335835
2022-10-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,91000.0,154915.71816734967,,-0.06123910178625252
2022-11-30,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,92000.0,168782.79957874207,,0.0
2022-12-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,93000.0,155678.28566292673,,-0.077641287788343
2023-01-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,94000.0,162104.76894736776,,-0.039565824527390964
2023-02-28,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,95000.0,157270.49803055887,,-0.06820778880855317
2023-03-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,96000.0,165313.96468277855,,-0.020552063981763773
2023-04-30,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,97000.0,170809.8373420975,,0.0
2023-05-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,98000.0,167196.19669985396,,-0.021155928127290252
2023-06-30,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,99000.0,178454.17216909645,,0.0
2023-07-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,100000.0,185019.81509722405,,0.0
2023-08-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,101000.0,184700.70036886545,,-0.001724759740954855
2023-09-30,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,102000.0,184274.94069384626,,-0.004025916915906413
2023-10-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,103000.0,186043.8813585614,,0.0
2023-11-30,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,104000.0,191355.015917386,,0.0
2023-12-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,105000.0,200539.20398351803,,0.0
2024-01-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,106000.0,212875.1154672603,,0.0
2024-02-29,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,107000.0,225413.5639193228,,0.0
2024-03-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,108000.0,227534.7010327237,,0.0
2024-04-30,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,109000.0,226558.263376387,,-0.0042913790815417956
2024-05-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,110000.0,247847.083357642,,0.0
2024-06-30,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,111000.0,257038.93607626218,,0.0
2024-07-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,112000.0,253437.78820965858,,-0.01401012594269047
2024-08-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,113000.0,278140.97217699734,,0.0
2024-09-30,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,114000.0,282728.08599914634,,0.0
2024-10-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,115000.0,280367.34964122565,,-0.00834984734388155
2024-11-30,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,116000.0,312771.70489877317,,0.0
2024-12-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,117000.0,298835.25378314935,,-0.04455790244879814
2025-01-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,0.0,117000.0,316529.40667199134,,0.0
2025-02-28,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,118000.0,331221.7357987885,,0.0
2025-03-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,119000.0,303306.39755391376,,-0.08427991048821994
2025-04-30,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,120000.0,319475.0129896787,,-0.03546483077501203
2025-05-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,121000.0,331760.08044711757,,0.0
2025-06-30,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,122000.0,320144.2117557937,,-0.03501285831516855
2025-07-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,123000.0,310405.7917998593,,-0.06436666104758228
2025-08-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,124000.0,313271.72417235526,,-0.05572809196888697
2025-09-30,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,125000.0,317220.236275821,,-0.04382638246199189
2025-10-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,126000.0,312654.22222230263,,-0.057589382661909494
2025-11-30,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,127000.0,323847.9095334024,,-0.02384907461757246
2025-12-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,128000.0,316108.22361225204,,-0.04717824041328693
2026-01-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,128999.99999999999,341330.83354659076,,0.0
2026-02-28,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,129999.99999999999,369374.51962517895,,0.0
2026-03-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,130999.99999999999,355079.6281313835,,-0.03870026418796054
2026-04-30,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,132000.0,366386.9569378327,,-0.008088166694275126
2015-01-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,1000.0,955.6994624488942,,0.0
2015-02-28,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,2000.0,2065.6362116118025,,0.0
2015-03-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,3000.0,2994.6792808541973,,0.0
2015-04-30,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,4000.0,4040.054616097354,,0.0
2015-05-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,5000.0,5180.65228144313,,0.0
2015-06-30,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,6000.0,6097.5076808036665,,0.0
2015-07-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,7000.0,7510.548373009289,,0.0
2015-08-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,8000.0,7996.308818749583,,0.0
2015-09-30,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,9000.0,8719.358461157837,,0.0
2015-10-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,10000.0,10384.852655656108,,0.0
2015-11-30,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,11000.0,11534.476091337958,,0.0
2015-12-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,12000.0,12336.953879610683,,0.0
2016-01-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,13000.0,12666.721623951336,,0.0
2016-02-29,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,14000.0,13463.443716261521,,0.0
2016-03-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,15000.0,15230.120445575545,,0.0
2016-04-30,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,16000.0,16769.921587982462,,0.0
2016-05-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,17000.0,17905.440639419096,,0.0
2016-06-30,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,18000.0,18392.44733496891,,0.0
2016-07-31,US_SECTOR_FINANCIALS,US,sector,FINANCIALS,1000.0,19000.0,19920.93512077553,,0.0
